Internal_SKU,HEX,Hue_Degrees,Saturation_Value,Brightness_Value,Auto_Depth_Score
LC-GP-0288,#C81088,320.9,92.0,78.4,3
LC-GP-0289,#D82878,332.7,81.5,84.7,2
LC-GP-0290,#C02068,333.0,83.3,75.3,3
LC-GP-0291,#B83060,338.8,73.9,72.2,4
LC-GP-0292,#C01850,340.0,87.5,75.3,3
LC-GP-0293,#C03858,345.9,70.8,75.3,3
LC-GP-0294,#C01840,345.7,87.5,75.3,3
LC-GP-0295,#B81830,351.0,87.0,72.2,4
LC-GP-0296,#B02030,353.3,81.8,69.0,4
LC-GP-0297,#B02048,343.3,81.8,69.0,4
LC-GP-0298,#A01010,0.0,90.0,62.7,4
LC-GP-0299,#B01828,353.7,86.4,69.0,4
LC-GP-0300,#B80810,357.3,95.7,72.2,4
LC-GP-0301,#C80838,345.0,96.0,78.4,3
LC-GP-0302,#A80848,336.0,95.2,65.9,4
LC-GP-0303,#602020,0.0,66.7,37.6,7
LC-GP-0304,#980840,336.7,94.7,59.6,5
LC-GP-0305,#882028,355.4,76.5,53.3,5
LC-GP-0306,#982848,342.9,73.7,59.6,5
LC-GP-0307,#A80818,354.0,95.2,65.9,4
LC-GP-0308,#882030,350.8,76.5,53.3,5
LC-GP-0309,#C80840,342.5,96.0,78.4,3
LC-GP-0310,#B01040,342.0,90.9,69.0,4
LC-GP-0311,#A01048,336.7,90.0,62.7,4
LC-GP-0312,#901828,352.0,83.3,56.5,5
LC-GP-0313,#881838,342.9,82.4,53.3,5
LC-GP-0314,#782040,338.2,73.3,47.1,6
LC-GP-0315,#981048,335.3,89.5,59.6,5
LC-GP-0316,#B01858,334.7,86.4,69.0,4
LC-GP-0317,#601010,0.0,83.3,37.6,7
LC-GP-0318,#581820,352.5,72.7,34.5,7
LC-GP-0319,#602030,345.0,66.7,37.6,7
LC-GP-0320,#982050,336.0,78.9,59.6,5
LC-GP-0321,#701038,335.0,85.7,43.9,6
LC-GP-0322,#581028,340.0,81.8,34.5,7
LC-GP-0323,#782050,327.3,73.3,47.1,6
LC-GP-0324,#903868,327.3,61.1,56.5,5
LC-GP-0325,#982050,336.0,78.9,59.6,5
LC-GP-0326,#A02050,337.5,80.0,62.7,4
LC-GP-0327,#781848,330.0,80.0,47.1,6
