SL_Code,Target_HEX,Mixed_HEX,Delta_E,S1,S8,S2,S4,S5,S19,S7,S9,S10,S11,S12,S14,S15
SL0264,#C03868,#A62F59,8.87,3,0,0,0,0,0,0,0,11,0,0,0,6
SL0265,#D05078,#B14665,10.27,5,0,0,0,0,0,0,0,9,0,0,0,6
SL0266,#D03878,#9F2D5E,16.77,3,0,0,0,0,0,0,0,12,0,0,0,5
SL0267,#D03870,#A62F59,14.83,3,0,0,0,0,0,0,0,11,0,0,0,6
SL0268,#C85080,#AB446A,10.05,5,0,0,0,0,0,0,0,10,0,0,0,5
SL0269,#D85078,#B14665,13.12,5,0,0,0,0,0,0,0,9,0,0,0,6
SL0270,#F878B0,#AD547A,24.16,7,0,0,0,0,0,0,0,10,0,0,0,4
SL0271,#F070B8,#A34B7A,25.7,6,0,0,0,0,0,0,0,11,0,0,0,3
SL0272,#E878C8,#BC63A3,14.89,5,0,8,0,0,0,0,8,0,0,0,0,0
SL0273,#C84890,#98346E,16.45,4,0,0,0,0,0,0,0,13,0,0,0,3
SL0274,#D858A0,#9D4074,19.82,5,0,0,0,0,0,0,0,12,0,0,0,3
SL0275,#C050A8,#B14C9A,6.64,2,0,10,0,0,0,0,8,0,0,0,0,0
SL0276,#E840D0,#942885,32.81,0,0,8,0,0,0,0,5,6,0,0,0,0
SL0277,#E028A0,#8A1C62,32.41,2,0,0,0,0,0,0,0,16,0,0,0,3
SL0278,#C00088,#760053,28.54,0,0,0,0,0,0,5,0,15,0,0,0,0
SL0279,#A03060,#9F2D5E,1.4,3,0,0,0,0,0,0,0,12,0,0,0,5
SL0280,#B02090,#911B77,12.8,0,0,4,0,0,0,0,6,11,0,0,0,0
SL0281,#801840,#9C194B,10.78,1,0,0,0,0,0,0,0,12,0,0,0,6
SL0282,#A82088,#931C78,8.51,0,0,4,0,0,0,0,6,10,0,0,0,0
SL0283,#880878,#780869,7.56,0,0,1,0,0,0,0,2,18,0,0,0,0
SL0284,#703098,#451A60,23.16,1,0,0,0,0,10,0,0,9,0,0,0,0
SL0285,#382040,#683A77,23.6,4,0,0,0,0,6,0,0,9,0,0,0,0
SL0286,#A00890,#730668,19.47,0,0,1,0,0,0,0,1,18,0,0,0,0
SL0287,#A030A8,#84288A,13.16,0,0,11,0,0,0,0,2,7,0,0,0,0
SL0288,#C81088,#800655,26.9,0,0,0,0,0,0,0,0,17,0,0,0,3
SL0289,#D82878,#992157,22.4,2,0,0,0,0,0,0,0,13,0,0,0,5
SL0290,#C02068,#931651,15.4,1,0,0,0,0,0,0,0,14,0,0,0,5
SL0291,#B83060,#A62F59,6.98,3,0,0,0,0,0,0,0,11,0,0,0,6
SL0292,#C01850,#9D0F3F,11.9,0,0,0,0,0,0,0,0,12,0,0,0,7
SL0293,#C03858,#B3334F,4.4,3,0,0,0,0,0,0,0,9,0,0,0,8
SL0294,#C01840,#A81237,8.27,0,0,0,0,0,0,0,0,11,0,0,0,9
