Item Name,SKU,Unit,Item Type,Category,Subcategory,Description,MOQ,Size,Packaging Type,HEX Color,Image URL
LC-GP-775,LC-GP-775,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-775.webp
LC-GP-0775,LC-GP-0775,ml,Inventory,Gel Polish,Solid Colours,Colour: #2858B0,25,10ml,Bottle,#2858B0,
LC-GP-776,LC-GP-776,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-776.webp
LC-GP-0776,LC-GP-0776,ml,Inventory,Gel Polish,Solid Colours,Colour: #3860A8,25,10ml,Bottle,#3860A8,
LC-GP-777,LC-GP-777,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-777.webp
LC-GP-0777,LC-GP-0777,ml,Inventory,Gel Polish,Solid Colours,Colour: #2060C8,25,10ml,Bottle,#2060C8,
LC-GP-778,LC-GP-778,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-778.webp
LC-GP-0778,LC-GP-0778,ml,Inventory,Gel Polish,Solid Colours,Colour: #3050B8,25,10ml,Bottle,#3050B8,
LC-GP-779,LC-GP-779,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-779.webp
LC-GP-0779,LC-GP-0779,ml,Inventory,Gel Polish,Solid Colours,Colour: #2858C0,25,10ml,Bottle,#2858C0,
LC-GP-780,LC-GP-780,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-780.webp
LC-GP-0780,LC-GP-0780,ml,Inventory,Gel Polish,Solid Colours,Colour: #302890,25,10ml,Bottle,#302890,
LC-GP-781,LC-GP-781,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-781.webp
LC-GP-0781,LC-GP-0781,ml,Inventory,Gel Polish,Solid Colours,Colour: #3840B0,25,10ml,Bottle,#3840B0,
LC-GP-782,LC-GP-782,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-782.webp
LC-GP-0782,LC-GP-0782,ml,Inventory,Gel Polish,Solid Colours,Colour: #2850B0,25,10ml,Bottle,#2850B0,
LC-GP-783,LC-GP-783,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-783.webp
